block,amount
5344653,0.0004
5344893,195.9074
5344896,204.8513
5344990,38.9728
5345006,311.4919
5345023,418.2690
5345042,10466.6585
5345045,3048.9157
5345104,344.8431
5345104,766.3181
5345114,379.1621
5345114,1789.6450
5345115,690.0750
5345123,189.5814
5345141,90.3836
5345936,167.4777
5345941,4384.3996
5345956,6844.2324
5345977,5.2154
5346025,29594.6996
5346028,1143.2323
5346066,20100.5924
5346071,1988.0148
5346143,3594.5775
5346146,18573.8722
5346149,18.1994
5346156,101.7295
5346159,15249.4700
5346162,12854.7169
5346169,3.6334
5346201,135.0614
5347054,478.4279
5355310,2328.2474
5355312,99.8908
5355347,5860.2740
5355545,0.0004
5361201,6.3574
5361394,9.4660
5361398,226.3799
5361432,0.4785
5361487,13.1532
5404405,261.9716
5406390,0.2303
5408685,100.0000
5408692,96.0452
5408835,0.0000
5408990,55.8682
5409039,0.0000
5458469,33.6262
5500982,33.2416
5544108,49.3245
5566231,121.5987
5569594,12.0095
5571371,20052.3402
5594682,9136.7113
5594685,3029.6013
5594721,10.0732
5595580,2000.0000
5659135,19.5727
5659140,195.7268
5659149,15562.7788
5660456,5514.1954
5660460,2555.8209
5661942,818.7873
5661970,75.7405
5661978,943.3669
5662002,6576.6000
5662151,548.0500
5662155,72.3426
5663858,1224.8541
5663881,219.2206
5663899,64.8152
5663909,105.2096
5663932,14707.6665
5663952,238.3693
5663971,57.4384
5664119,26.4466
5664213,1203.3580
5664252,38.2670
5664286,13701.2494
5664332,32.8083
5668005,16344.4751
5668013,1135.0893
5668020,1281.3409
5668031,525.7283
5668043,235.7329
5687248,9491.6774
5687794,10.9615
5689740,3153.5003
5689745,3214.3666
5689760,38246.5004
5689763,34892.6331
5689765,306.7147
5689769,6227.3495
5689778,23018.1000
5689788,5151.6700
5689802,5823.8613
5689820,4819.2697
5689947,103.7050
5689959,103.7050
5689967,143.6799
5690025,109.4450
5690608,32.8024
5693637,659.3367
5693666,193.3868
5693730,42.1998
5703621,3288.2995
5725825,0.0006
5743614,1255.7737
5765833,199.0966
5765835,9336.9734
5765887,65.7665
5766692,5094.0672
5766962,3723.0189
5766973,74.8968
5767072,0.1538
5767473,21251.2626
5767478,781.9458
5767480,3829.2036
5767482,21362.2992
5767484,21449.6052
5767495,18673.6638
5777317,25.0163
5777328,100.0654
5777340,249.4934
5777506,29.8898
5777511,24.8949
5777511,204.1380
5777526,960.9956
5777538,68.1288
5777544,6.7358
5777565,76.4017
5777570,142.8183
5777578,68.1289
5777578,58.3962
5777580,63.2625
5777585,428.6945
5777624,15800.8322
5777641,11.0647
5778568,1370.1250
5780656,4.3844
5780877,21685.9288
5780879,10858.0760
5780882,8762.6576
5780886,6631.2122
5780953,3.4751
5780979,8592.4807
5780982,1930.0789
5780995,15515.3952
5780996,9208.4501
5780997,2290.6592
5781003,1374.4183
5781014,43.9820
5781028,45.8146
5781045,194.7119
5781052,312.3638
5782245,0.0663
5782436,11723.8851
5782450,54.8055
5782546,3288.3000
5782547,67.7443
5782549,658.4220
5782551,9.0326
5782556,112.3821
5784023,51.2975
5834226,3735.1451
5836351,1424.9300
5836353,271.4189
5836354,21228.4708
5836358,641.3303
5836370,328.8304
5836382,82.2075
5836388,10.1170
5844271,5568.1876
5844339,40.5561
5844572,327.4932
5844580,1220.0773
5844597,421.9901
5844612,300.0009
5844620,193.2441
5844693,38.0508
5845131,21248.1306
5845133,36239.8244
5845134,1726.5990
5845140,3735.6612
5845156,520.6548
5846660,859.7386
5846664,33434.9501
5846688,2.8602
5846769,8768.7996
5846776,1863.3704
5846897,219.2200
5869572,12.6027
5871764,1502.5050
5871765,164.2127
5871766,328.4253
5871769,328.4253
5871770,9679.1864
5871774,2301.6823
5871777,5.5444
